,full_text,sentiment
10,"Tahun 2023 katanya akan ada resesi, kalian percaya tidak?.. Menurutku jika tahun depan masih ada orang yg mengadakan resepsi, maka percayalah Indonesia masih jauh dari kata resesi. Asal ada rendang aku bahagia.. ðŸ›ðŸ˜…",positive
11,"BI Optimistis Indonesia Tidak Akan Resesi, Ini Alasannya https://t.co/w05oaVsJTz",positive
12,"Kabar Baik & Gembira dari Bank Indonesia, bahwa Indonesia Tak Akan Sampai Resesi di 2023... https://t.co/d7OHInKegM ...\n\n#TerimakasihPresidenJokowi \n#JokowiHebat\n#JokowiBangunIndonesiaLebihBaik\nðŸ‘ðŸ’ªðŸ¼ðŸ‘ðŸ¼ðŸ‡²ðŸ‡¨",positive
13,"Bank Indonesia Bawa Kabar Baik, Indonesia Tak Akan Kena Resesi! https://t.co/OzUGfghRG3",positive
14,Percaya perekonomian Indonesia kuat hadapi resesi!\n@__RismaWidiono_ @elpanjullo https://t.co/tLX2HobN7X,positive
15,@virtuaIbase Apa yang akan kamu lakukan jika resesi 2023 berdampak ke Indonesia?,neutral
16,"Habis diwejangi JK langsung beritanya baik2 terus\n\nTapi...... \n97 - 98 dulu kita juga dikabarkan baik2 terus sampai akhirnya mendadak nyungsep lebih parah dibanding negara lain\n\nKabar Baik dari BI, Indonesia Tak Akan Sampai Resesi https://t.co/3sp5CX1gqJ",negative
17,"Menteri Koordinator (Menko) Bidang Perekonomian Airlangga Hartarto masih optimis ekonomi Indonesia tetap cerah tahun depan meski ada potensi resesi ekonomi global.\nJadi tahun depan, Indonesia cukup optimis,"" katanya.""",positive
18,"Februari? apa karena aku sering spam kolom komen IG nya jeff 'COME TO INDONESIA' makanya abang satu ini memutuskan datang ke indonesia ðŸ˜­ðŸ˜­ \n\ntahun depan indonesia resesi bang, uang adek belum ada. jangan mahal-mahal ya tiketnya. jangan kayak tiket bts ðŸ˜­ https://t.co/4uLRLVGi9A",negative
19,"Halo sahabat eduNitas, Pemerintah Indonesia melalui Kementerian Keuangan telah mengumumkan bahwa tahun 2023 ekonomi Indonesia akan menghadapi resesi.\n\nDi situasi yang sulit nanti Ada lho berbagai tips sukses agar kamu bisa menghadapi ancaman resesi ini, Yuk terapkan berikut ini.. https://t.co/8fMuAUqJaA",neutral
20,"Emang sih konon katanya bakal ada resesi global tahun depan, tapi belom tentu juga Indonesia ikutan kena dampaknya, jadi mendingan sih gak usah panik berlebihan \n#NabungKriptoDiNOBI\n#InvestasiLawanResesi #ChillAjaDiNOBI",positive
21,TRANS7: RT @trans7club: Kondisi perekonomian semakin sulit akan mengakibatkan resesi tahun 2023. Berbeda pemikiran dengan Piter Abdullah yang mengatakan bahwa perekonomian Indonesia akan bangkit. Mengapa demikian?\n\nArtikel lengkapnya di â€¦ https://t.co/al3sGMtue9,neutral
22,"Mengapa pede Indonesia gak akan alami resesi?\n\nHehehe selama kita masih menyukai cilok, cimol, cireng yang terbuat dari tepung aci (singkong) , yakin deh kita gak kelaparan\n#NabungKriptoDiNOBI\n#InvestasiLawanResesi #ChillAjaDiNOBI",positive
23,Baru di iBox. \nEmang uda rencana upgrade ke 14 Pro. \n\nGuess what? \nUda sold out. Dan yg sold out Pro/Promax yg 512GB dan 1TB. \n\nPadahal baru rilis Indo 3 hari lalu. \nSadis. ðŸ¤” Apakah ini berarti â€¦,neutral
24,Tren Positif Ekonomi Indonesia di Tengah Prediksi Resesi 2023 https://t.co/gDrYPgRxw9,positive
25,"Misal nih isu resesi ekonomi 2023. Sebenernya ini bukan isu baru bagi Indonesia, karena Indonesia sudah pernah terkena badai krisis ekonomi di masalalu. Contohnya Krisis Moneter tahun 1908. Dari masalalu kita tahu ini apa yang perlu kita lakukan. Sabi nih next time aku bahasðŸ˜‰",neutral
26,"@cnbcindonesia Mall, pasar, tempat wisata masih rame. Indonesia jauh dr resesi",positive
27,Resesi Ekonomi Global? Gubernur BI Perry Warjiyo Buka-bukaan soal Kondisi Indonesia Sekarang! https://t.co/bHFziix7md https://t.co/ZegMJXMv6v,neutral
28,"Kabar Baik dari BI, Indonesia Tak Akan Sampai Resesi https://t.co/QUnFFR9iFn",positive
29,"resesi gan, indonesia 2023",negative
30,"Hi NOBIâ€™s, percaya Indonesia akan dilanda resesi pada 2023?\nSaya sih enggak. Indonesia gak seperti Inggris. Menurut berita, saking kelaparan anak-anak Inggris mengunyah karet dan pura-pura makan\n#NabungKriptoDiNOBI\n#InvestasiLawanResesi #ChillAjaDiNOBI\n #Thread",positive
31,"Sbnrnya apa sih yg hrs diperbaiki dr Indonesia ini? PRIVILLAGE!!!\nKKN sbgainya udah mendarah daging disini. Gmna mau ngadepin resesi taun depan? Yg kaya makin kaya, yg miskin mateeee",negative
32,yak regardless ada pemilu atau enggak kayanya emang Indonesia sangat minim terdampak resesi.\n\nhttps://t.co/dXUc6i2BFB,positive
33,"@mahasiswigenz Terbesar iya teratas blm tentu , bukan pemain international jgn di banding kan gak akan sama... Negara lain resesi indonesia tidak lah wong bukan pemain international .. tapi jgn bangga kelas beda",positive
34,"Dear #RisingWoman!\n\nHappy Monday!\nHari senin gini, waktu yang pas untuk belajar nggak sih? hihihi\n\nSaat ini, Indonesia sedang dihebohkan dengan trend berita mengenai RESESI dan DEPRESI. Nah tapi, kamu sendiri sudah paham belum sih, apa itu RESESI dan DEPRESI? https://t.co/piBk320oIE",neutral
35,"Gaiis, belakangan ini mungkin kita sudah sering dengar tentang Resesi 2023. Dan terjadinya resesi 2023 bisa menimpa negara manapun di dunia ini termasuk Indonesia. Jadi kita harus waspada. #NabungKriptoDiNOBI #InvestasiLawanResesi #ChillAjaDiNOBI https://t.co/lYcNPSFCHS",positive
36,"Tahun 2023 Indonesia akan mengalami resesi? Tapi sebelumnya, resesi tuh apa sih? Apa dampaknya untuk perekonomian Indonesia? Kemudian, sebagai masyarakat biasa apa yang harus dilakukan untuk mengantisipasi resesi ini?\n\nTonton selengkapnya di https://t.co/CNmpZR8lRu\n\n#SabtuMeTime https://t.co/EO7VcdwGlt",neutral
37,@WOODZtify ngobrolin resesi indonesia dib,neutral
38,[CM] Perasaan makannya udah diirit2ðŸ™‚ðŸ™‚Pap pengeluaran kalian bulan ini guiss https://t.co/3HExi8blpG,neutral
39,@Ciplukan06 @cliojiah @__PASMANTAP Masalahnya di mana dgn semua itu \nSilahkan klu mau bahas satu persatu â˜ºï¸\nYg pasti ekonomi Indonesia ttp bergerak positif di saat dunia dlm keadaan resesi akibat pandemi n perang \nKeren kan Jokowi\nYg hati nya busuk ga akan mampu melihatnya,positive
40,"@FWBESS Sama bukan membela pemerintah yah...\n\nUntuk neraca perdagangan indonesia itu masih surplua bisa dikatakan bisa lewatin lah resesi ini, inflasi pasti ada karna rantai pasok global keganggu karna perang russia ukraina dan sayang bangga indonesia punya orang kaya ibu sri mulyani",positive
41,"Muhamad Chatib Basri (Mantan Menteri Keuangan) menjelaskan, â€œResesi artinya kita mengalami pertumbuhan ekonomi negatif, saya tidak melihat ada kemungkinan untuk Indonesia mengalami pertumbuhan ekonomi negatif, mungkin hanya akan terjadi perlambatan ekonomi.â€ https://t.co/ca8Br5tEdw",positive
42,buset ahli makroekonom indonesia banyak bgt ya apalagi di reply section pak tigor pas ngedebunk gorengan resesi. bermunculan semua njir takut bgt,neutral
43,Chatib Basri bicara batas dampak resesi global ke perekonomian Indonesia.\n\n#62NegeriKrisis\n#62NegeriKrisis\nðŸ‘‡ðŸ‘‡ðŸ‘‡\nhttps://t.co/mRDbHZdL0g,neutral
44,Menaker Ida Khawatir Ancaman Resesi Global 2023 Picu PHK Massal: Menteri Ketenagakerjaan (Menaker) Ida Fauziyah khawatir ancaman resesi global pada tahun 2023 berdampak pada sektor ketenagakerjaan di Indonesia. Salah satunya terjadinya pemutusan hubunganâ€¦ https://t.co/2GWTQHojOF https://t.co/4YSZYScHb1,negative
45,Sedang berlangsung Laporan Khusus Sektor UMKM Mampu Hadapi Resesi Ekonomi bersama Yusuf Wibisono selaku Ekonom Universitas Indonesia dengan Host Silvia Ansori. \n#IMPagi @RRIPrograma3 @RRI\n-Iva https://t.co/iGVEKHBXSn,neutral
46,Kondisi perekonomian semakin sulit akan mengakibatkan resesi tahun 2023. Berbeda pemikiran dengan Piter Abdullah yang mengatakan bahwa perekonomian Indonesia akan bangkit. Mengapa demikian?\n\nArtikel lengkapnya di https://t.co/1fT0I7BLiI \n\n#trans7update #sobat7jaditau #resesi https://t.co/lFpYYZVUen,neutral
47,@latarterkemban4 @democrazymedia Memang hampir seluruh daerah di Indonesia menampakkan lagi resesi,negative
48,Tahun 2023  Dunia akan mengalami resesi hebat\nTermasuk Indonesia\nTahun 2024 Pemilu ditiadakan karna gak ada dana \nKalau di paksakan Indonesia akan Kiamat\nDah itu aja penerawangan hari ini,negative
49,Strategi Pengusaha Kuliner Indonesia Hadapi Isu Resesi Global 2023 https://t.co/HM8d11eJr5,neutral
50,@RfgL88 @HelmiFelis_ Mimpi? Bangun sudah ketinggalan negara lain sudah pada siap siap menuju resesi Indonesia mana kinerjanya? Cuma buat nakuti nakuti rakyat ...semua pengin mimpi yang lebih tinggi..buknya gedein partai doang presiden itu bukan petugas partai..,neutral
51,"Gub @ganjarpranowo menjadi pembicara dalam acara talkshow Diseminasi Nasional Solo: Gaung Muda Indonesia Pasca KTT Y20 Presidensi G20 Indonesia di Pura Mangkunegaran, Surakarta(28/10). Menurutnya, Anak-anak muda harus diberikan ruang & peran dalam menghadapi ancaman resesi dunia. https://t.co/L2QjIf1qUn",neutral
52,"[BERITA] Labor Institute Indonesia: PHK akan Masif Hingga Akhir Tahun 2022, Dipicu Ancaman Resesi Global - https://t.co/7hKJd1WbZL",neutral
53,"Pada 2023, perekonomian Indonesia masih akan tumbuh. Bahkan Indonesia termasuk negara dengan pertumbuhan ekonomi ketiga terbaik. Kalau begitu, perlukah overthingking"" terhadap resesi yang katanya akan segera terjadi? #Opini #AdadiKompas\nhttps://t.co/it9GAF0uey""",neutral
54,"@elkrova Makanya jangan ragu dng Kebijaksanaan pemerintah Indonesia. Semua aturan itu untuk mendukung roda ekonomi tetep bergerak ditengah resesi Global. Investor dari mana aja itu bawa modal untuk proyek2 Indonesia, menyerap pengangguran dan ujungnya ekonomi Indonesia kuat. Hrs kerjasama",neutral
55,Sedang berlangsung Laporan Khusus Sektor UMKM Mampu Hadapi Resesi Ekonomi bersama Eddy Misero selaku Sekretaris Jendral Asosiasi UMKM Indonesia (AKUMINDO) dengan Host Silvia Ansori. \n#IMPagi @RRIPrograma3 @RRI \n-Iva,neutral
56,â˜•ðŸ‡®ðŸ‡©â¤ï¸\nResesi dunia\nPertumbuhan ekonomi Indonesia masih bagus karena UMKM\nUjar\nMoeldoko\n.\n.\n#SemangatPerkuatNegeri https://t.co/uIUII6jkQu,positive
57,"@kompascom Pasar, mall, tempat wisata selalu rame, Indonesia jauh dari resesi",positive
58,"tapi, malahan menurut menku, indonesia masih di tahap aman kalopun misalnya bakal ada resesi 2023",positive
59,"@sbyfess Ngerii slipkol, bahase nanti kenapa thn depan Indonesia mengalami resesi",neutral
60,"Ada Ancaman Resesi Ekonomi Global, Indonesia Mesti Bersiap https://t.co/GmOWz7MPTb",positive
61,"Makin yakin menatap masa depan bangsa ini. Dengan tangan dingin pak @jokowi dan jajarannya, yakin Indonesia bisa tidak berdampak besar terhadap resesi ekonomi tahun 2023 yang dikhawatirkan banyak negara.\n@kemenkeu https://t.co/guS5nC4tiw",positive
62,"Resesi melanda beberapa negara, Indonesia juga akan menghadapinya.\nTanda2nya sudah terwujud, PHK, tidak ada lapangan kerja.\nKonsumen menurun pastinya.\nYuk trading forex sebagai alltenatif income.\nSy buka kelas online gratis dan ada beasiswa bila beruntung.\nWa saja.. https://t.co/PUZWWm9LdO",neutral
63,"@JayaYEA Aku sih mau 2023 resesi atau gak, bagi aku semenjak covid datang ke Indonesia tahun 2020 ya itulah resesi... ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",negative
64,Menteri Ketenagakerjaan Ida Fauziyah meminta seluruh tenaga kerja untuk meningkatkan kompetensinya agar Indonesia terbebas dari jeratan resesi dunia yang diperkirakan... https://t.co/V0tlGvvgPf,positive
65,"EKONOMI INDONESIA AGAK LEBIH BAIK DARI NEGARA LAIN KRN INDONESIA JUAL ASET , JUAL SEGALA SUMBER DAYA ALAM PADA ASING.\n\nDAN NEGARA ASING YG JATUH RESESI KRN MMG TDK PUNYA SUMBER DAYA ALAM SPT INDONESIA.\n\nJADI JOKOWI JGN BANGGA BERLEBIHAN INDONESIA EKONOMI NYA BAGUS. https://t.co/o2KMMrjQyY",neutral
66,"@Mustafic_Khzan Ancaman resesi global, siapa aja bsa kena llo ga siap. who knows? Siapa yang sangka inggris yang begitu kuatnya dgn poundsterling bisa dkondisi seperti ini skrg. Ga ada yg bilang indonesia bakal resesi, ancaman resesi global.",negative
67,@gotham3112 Yang keluarin data Indonesia bakal resesi kan Dari Bu Sri mul,neutral
68,"Astaga mahasiswa ini apa tidak mikir ya. Dunia sedang resesi krn pandemi dan perang Rusia-Ukraina, Indonesia masih bagus bisa kontrol inflasi, utang dan jaga ketahanan pangan. Kalian cuma bisa kritik tapi ga bisa kontribusi buat bantu negara\nhttps://t.co/nlXKlcsgAY",neutral
69,"PKS: Jika Resesi Ekonomi Dunia Tidak Diantisipasi Pemerintah, Indonesia Akan Terdampak Parah https://t.co/HxrK7i5ma9",neutral
70,"Resesi 2023 menuai banyak opini, ada yang optimis bahwa Perekonomian Indonesia tidak akan seburuk yang di isukan, adapula yang pesimis bahwa Indonesia akan terkena dampak besar dari resesi Global. #centralpark #Paylater #Itaewon #Minggu #istora #majalengka",neutral
71,Masyarakat Harus Tetap Jajan: Ini Salah Satu Resep Indonesia Bebas Resesi Ekonomi 2023 https://t.co/2ZmxjhsYDl,neutral
72,"@msaid_didu Yg perlu diketahui juga, apa jawaban SMI kpd pak JK terkait prediksi resesi thn 2023, itu intinya. Semoga pak JK bisa menyampaikan kpd masyarakat Indonesia tentang jawaban SMI kpd pak JK...",neutral
73,"@Emma73188421 dalam pandangan saya: Indonesia resesi di 2023 ya. bahkan mungkin sampai dengan 2025. tight money policy saat ini sudah terjadi di Indonesia, pemerintah terpaksa melakukan untuk menekan inflasi. \nimport dan export sudah pasti turun tajam. effect dr covid-19 dan invasi Russia - Uk",negative
74,"@abnerstindi Semoga saja pak,,disaat kita diperhadapkan dgn isu krisis global bahkan resesi ekonomi ditahun depan,tiba Pi network dgn segala terobosannya...Godbless Pi network,Godbless indonesia.!!!ðŸ™""",neutral
75,"Menko Perekonomian Airlangga Hartarto optimis Indonesia jauh dari kata resesi. Sebab menurutnya, perekonomian Indonesia di 2023 diperkirakan dapat tumbuh positif mencapai 5,2 hingga 5,3 persen. https://t.co/J8focwvh9o",positive
76,karena tren yang seperti itu seakan membuktikan bahwa beneran akan terjadi resesi keuangan khsusunya di indonesia dan yang salah satu yang terdampak adalah tech company ðŸ˜¢,neutral
77,Indonesia tak perlu terlalu resah menghadapi resesi global\n\nhttps://t.co/bFnJohNV5A,positive
78,"Pandemi di Indonesia berakibat meningkatnya masyarakat miskin baru"" karena aktivitas ekonomi yang terhambat. Diharapkan dengan aktivitas ekonomi yang berangsur pulih angka tersebut bisa menyusut.\n#resesi #resesi2023 #kemiskinan #ekonomi #ReferensiTeruji #infografis #Validnews https://t.co/7u7EqLqnx8""",neutral
79,"Ada Ancaman Resesi di 2023, Subaru Indonesia Yakin Tetap Kokoh https://t.co/bURE2LrAu5",positive
80,"Ketentuan:\n\n1. Quote tweet ini plus screenshot artikel favorit kamu di app https://t.co/63JrD3SzrJ dan alasannya\n2. Follow & mention @KompasEnt, @dyandraglobal, dan 2 teman\n3. Pakai tagar #GiveawayNCTKompascom #KuisKompascom #NEOCITY_THE_LINK_JKT #DyandraGlobalConcert",neutral
81,Pemerintah masih meyakini ekonomi Indonesia tetap cerah meski ada potensi resesi ekonomi global 2023. https://t.co/6SxwWJpgh1,positive
82,"Ekonomi dunia di tahun 2023 penuh dengan ketidakpastian. Sejumlah lembaga bahkan sudah memproyeksi akan terjadi resesi di tahun depan. Lantas, bagaimana tanggapan para tokoh Indonesia terhadap resesi? Simak infografis berikut. #dailyupdate #30okt #infog https://t.co/HQ3OxnZQY1 https://t.co/PyAfcEoViD",neutral
83,Apa Kata Menparekraf atas Ancaman Dampak Resesi Dunia di Indonesia?  https://t.co/Fv188GN5l6 #Kemenparekraf #india #arabsaudi #resesiekonomi,neutral
84,Perekonomian Indonesia dinilai relatif tangguh hadapi berbagai tantangan termasuk resesi ekonomi global yg diprediksi terjadi pada 2023. https://t.co/lHm3U9UOoH,positive
85,"Indonesia nggak resesi! Buktinya paket winter holiday di Rovaniemi, Finlandia, harga diatas Rp 50 jutaan, langsung ludes di travel agent @Dwidaya_tour \nThis is TRAVEL REVENGE!",positive
86,"@DokterTifa Buk sapa bilang indonesia miskin? lambemu jare dokter kok pekok eram coba baca jurnal luar negeri resesi dunia negara mana aja yg survive, cocotmu nek ga nyonyor ki ngopo to, suatu saat karma semua ucapan burukmu akan kembali monggo ditenggoke mawon",neutral
87,"Halo, Kompas! Akhir-akhir ini situasi media massa menjadi tidak kondusif sebab banyak berita dan influencer yang ramai2 menebar keseraman resesi global sehingga menimbulkan kepanikan di tengah masyarakat Indonesia. Nah, kenapa artikel Kompas yang satu ini menjadi favorit saya? â¬‡ï¸ https://t.co/y8udbAIC23",neutral
88,Sederet Kekuatan Indonesia Hadapi Ancaman Resesi Global #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/ols7Dbj5gQ,neutral
89,"Sejumlah perusahaan teknologi besar di Indonesia harus melakukan PHK supaya bisnisnya bisa bertahan, bagaimana kondisi startup di Yogya di tengah ancaman resesi global? #publisherstory #pandanganjogja https://t.co/7RpqgSOQTx",neutral
90,"Udah kasus usut tuntas belum kelar,Sambo belum kelar,bakal muncul resesi lagi wtf indonesia !ðŸ¥²",neutral
91,"Sebab ditulis dengan rinci dan menjabarkan berita faktual dengan sebab-akibat yang jelas, misalnya Indonesia tidak terlalu terkena dampak resesi global karena konsumsi atau demand masyarakat terhadap produk domestik masih kuat""""",neutral
92,@CNNIndonesia Lhooo lak mestiiiiiii.. Tau negaranya lagi kolep bikin virus sendiri apa coba maksudnya(china) ???  Gais Indonesia tuh ga ngaruh mau di bombastis berita dunia gelap karena resesi . Selama kegiatan2 masyarakat masih di perbolehkan!!.Tapi kalo sudah covid?? Ya WASALAM,neutral
93,"@DokterTifa Eropa yg resesi, tifa yg panik kejang2. Ini Indonesia faa, di eropa resesi energi kita happy2 export batubara harga premium.",neutral
94,Sandiaga Uno Yakin 97 Persen Indonesia Tak Akan Resesi Tahun Depan! https://t.co/H4E9zlg8KN,positive
95,"Mohon maaf sebesar-besarnya, dengan berat hati menginformasikan bahwa event festival di hari ke-3 tanggal 30 Oktober 2022 yang diselenggarakan di Istora Senayan & Parkir Selatan GBK, harus dibatalkan atas dasar alasan keselamatan dan keamanan. https://t.co/KugJPy5DfB",neutral
96,Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno menyebut bahwa 97% analis menyatakan bahwa Indonesia tak akan resesi tahun depan. https://t.co/kM1CX00gvz,positive
97,@tanyakanrl Denger denger Indonesia tahun depan resesi ya?,neutral
98,"Asia is still a relative bright spot globally despite some signs of slowdown in economic rebound. We have cut growth forecasts to 4% this year and 4.3% next year, below the historical average: https://t.co/hW0czsOnvF https://t.co/zYYlXs8RO3",neutral
99,Secara makro resesi Indonesia udah 2 tahun covid kemarin pertumbuhan ekonomi sampai minus 2.1% n sekarang recoverinya sampai 5% tahun ini. Proyeksi tahun depan 5.2 %\nhttps://t.co/D3AHD6zl7V https://t.co/3rT7FRgPsV,neutral
100,"Sandiaga menargetkan 30 juta UMKM dapat tergabung dalam program gerakan nasional bangga buatan Indonesia. Ia meminta para pelaku UMKM terus melakukan inovasi, adaptasi dan kolaborasi untuk tetap bertahan di tengah ancaman resesi dunia.\n\n#Temansandi #ì´íƒœì› Berdendang bergoyang https://t.co/Q7viyoxERX",neutral
101,@soeyoto1 Jika Indonesia mengalami resesi .Rakyat tinggal turun kejalan cari kebenaran mengepung Istana Negara tempat berkumpulnya para Oligarki dan Mafia.Mereka lah Bangsa Pengecut yang menguras habis harta kekayaan Indonesia .Revolusi harga mati utk Rakyat.,neutral
102,"The IMF predicts that the Indonesian economy will grow 5% in 2023. But the influencers here nakut-nakutin Indonesia 2023 bakal resesi sampe meminjam diksi KIAMAT"" hahaha ðŸ˜Š""",neutral
103,Resesi 2023 yang dipicu kebijakan AS itu berpotensi berdampak terhadap perekonomian Indonesia salah satu terhadap harga komoditas dan energi. https://t.co/5YTiucBvBW,neutral
104,Akankah Resesi Ekonomi Global Berdampak Pada Indonesia https://t.co/XJfC67C89u,neutral
105,@VIVAcoid Ada yg jd saksi kalau beliau katanya memperhatikan rakyat kecil.. ada yg  katakan negara G20 antre minta tolong ke beliau..dan ada juga yg katakan siap pengamanan bila Indonesia resesi...keren..keren kalian..,neutral
106,Sandiaga Uno mengungkapkan 97% analis menyatakan Indonesia tidak akan resesi tahun 2023. Dia mengatakan inflasi di Indonesia saat ini masih cukup terkendali. https://t.co/Q9bm7bPjDu,neutral
107,Sandiaga Ungkap 97% Analis Nyatakan Indonesia Tak Kena Resesi di 2023 https://t.co/R8iNB6wHRT,positive
108,"Pengaruh resesi Amerika Serikat terhadap mahasiswa internasional, dari #Asia dan #India termasuk #China dan #Indonesia https://t.co/OB6EalAl7O",neutral
109,Event ini membuktikan bahwa orang Indonesia khususnya orang jakarta gak takut resesi. Karena tiket konser bodong ajaa masi dibeli wkwkwk.,positive
110,"Berita seperti ini musti di Up terus â€¼ï¸ patahkan narasi kadrun yg sllu blow up negara resesi, bnyak hutang dll ðŸ¤¢ðŸ¤®\n\nEKONOMI INDONESIA TERBESAR KE TUJUH SEDUNIA SALIP INGGRIS ðŸ’ªðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©\n\nKadrun Anjeng klo liat fakta sperti ini langsung MATA NYA KETUTUPAN TAEK â€¼ï¸ https://t.co/DnXdixVbVD",neutral
111,"@KompasTV Kewajiban SMI untuk memberi signal kepada rakyat Indonesia terhadap kemungkinan terjadinya resesi, bukan untuk menakuti",neutral
112,"Tahun depan resesi ? Ah aman aja Krn ada yg ngomong Indonesia nda terdampak, yah mulai skrg mengurangi pengeluaran yg TDK perlu itu penting, berjaga utk kemungkinan terburuk, menghemat dah itu aja",positive
113,Gak perlu nakut2in orang indonesia soal resesi. Kita bisa hidup dan pernah hidup dalam segala kondisi,positive
114,Apa yang akan terjadi dg indonesia klo 2023 resesi???\nDan bagaimana nasib diriku?\n#seriusnanya #resesi #ELONMUSK #IndomieHeroesAwards,neutral
115,"PKS: Jika Resesi Ekonomi Dunia Tak Diantisipasi Pemerintah, Indonesia akan Terdampak Parah\nhttps://t.co/ARoX2gmHze",neutral
116,Wakapolri: Polisi Siap Hadapi Dampak Resesi Ekonomi.\n\nJember (https://t.co/ksziGGp1k3) â€“ Wakil Kepala Kepolisian Republik Indonesia Komisaris Jenderal Gatot Eddy Pramono menegaskan kesiapan aparatâ€¦ https://t.co/b7mbeKJqGa #Peristiwa #ekonomiindonesia #polri via @beritajatimcom,positive
117,Resesi global ud ddepan mata.\nTp @erickthohir ttp optimistis Indonesia gk akn terperosok ke jurang resesi.\nAlasannya adlh krn kita memiliki bnyk potensi yg membuat ekonomi kita ttp tumbuh\n#BangkitBersamaET https://t.co/QVMtx9sRMm,positive
118,Bukan kiamat yg dibilang Bu Sri Mulyani tapi hanya awal resesi ekonomi 2023\nKocak sih pak @Pak_JK ðŸ˜ðŸ¤˜\n\nYth: @jokowi @IndefEconomics @KemenkeuRI @bahlillahadalia @Mari_Pangestu @airlangga_hrt @prima_or_id @psi_id @BankDunia @bank_indonesia @WorldBank @saifulmujani @CSISIndonesia https://t.co/aLUSUxfSOf,neutral
119,"Plt Sekretaris Utama NFA hadiri webinar bertajuk Bersatu Hadapi Ancaman Resesi Ekonomi Dunia"" yang diselenggarakan Masyarakat Ilmu Pemerintahan Indonesia (29/10).\n\n#SinergiPangan #Inflasi #StabilisasiHarga https://t.co/d5lIrdLaoI""",neutral
120,Indonesia Terdampak Parah Resesi Ekonomi Dunia Jika Pemerintah Tidak Antisipasi https://t.co/IpbwmNP8J8,neutral
121,@belindch Mari mempertahankan pola konsumtif utk mencegah Indonesia tidak jatuh ke jurang resesi ðŸ”¥ðŸ™ƒ,positive
122,Subsidi tepat sasaran bisa memeberikan nafas bagi si miskin jika terjadi resesi di Indonesia. Namun pemerintah juga harus mencari jalan keluar agar Indonesia terhindar dari resesi. \n#resesi #resesi2023 #indonesia #resesiekonomi #RefrensiTeruji #infografis #Validnews https://t.co/fdLRhUQ85v,neutral
123,"Lanjutan \nBahkan kita masih menghadapi ancaman badai Resesi Global di tahun 2023 mendatang. Yang gejalanya mulai kita rasakan dari sekarang. Dimana inflasi menghantam beberapa negara, termasuk Indonesia,"" papar dia. \n\nLaNyalla yang juga Ketua Pemuda Pancasila Jatim next...""",neutral
124,"@DokterTifa Nggak ngaruh sama Indonesia.\nDi Indonesia yg antri iphone 14 dan mobil berjubel, resesi  apanya?\nhttps://t.co/AqHoNLe54K https://t.co/14XyEwPtnm",positive
