Unnamed: 0,full_text,sentiment
20,"Emang sih konon katanya bakal ada resesi global tahun depan, tapi belom tentu juga Indonesia ikutan kena dampaknya, jadi mendingan sih gak usah panik berlebihan   ",positive
21,TRANS7: trans7club: Kondisi perekonomian semakin sulit akan mengakibatkan resesi tahun 2023. Berbeda pemikiran dengan Piter Abdullah yang mengatakan bahwa perekonomian Indonesia akan bangkit. Mengapa demikian Artikel lengkapnya di ,neutral
22,"Mengapa pede Indonesia gak akan alami resesi Hehehe selama kita masih menyukai cilok, cimol, cireng yang terbuat dari tepung aci (singkong) , yakin deh kita gak kelaparan   ",positive
23,Baru di iBox. Emang uda rencana upgrade ke 14 Pro. Guess what Uda sold out. Dan yg sold out Pro/Promax yg 512GB dan 1TB. Padahal baru rilis Indo 3 hari lalu. Sadis. Apakah ini berarti ,neutral
24,Tren Positif Ekonomi Indonesia di Tengah Prediksi Resesi 2023 ,positive
25,"Misal nih isu resesi ekonomi 2023. Sebenernya ini bukan isu baru bagi Indonesia, karena Indonesia sudah pernah terkena badai krisis ekonomi di masalalu. Contohnya Krisis Moneter tahun 1908. Dari masalalu kita tahu ini apa yang perlu kita lakukan. Sabi nih next time aku bahas ",neutral
26," Mall, pasar, tempat wisata masih rame. Indonesia jauh dr resesi",positive
27,Resesi Ekonomi Global Gubernur BI Perry Warjiyo Buka-bukaan soal Kondisi Indonesia Sekarang! ,neutral
28,"Kabar Baik dari BI, Indonesia Tak Akan Sampai Resesi ",positive
29,"resesi gan, indonesia 2023",negative
30,"Hi NOBI s, percaya Indonesia akan dilanda resesi pada 2023 Saya sih enggak. Indonesia gak seperti Inggris. Menurut berita, saking kelaparan anak-anak Inggris mengunyah karet dan pura-pura makan    ",positive
31,"Sbnrnya apa sih yg hrs diperbaiki dr Indonesia ini PRIVILLAGE!!! KKN sbgainya udah mendarah daging disini. Gmna mau ngadepin resesi taun depan Yg kaya makin kaya, yg miskin mateeee",negative
32,yak regardless ada pemilu atau enggak kayanya emang Indonesia sangat minim terdampak resesi. ,positive
33," Terbesar iya teratas blm tentu , bukan pemain international jgn di banding kan gak akan sama... Negara lain resesi indonesia tidak lah wong bukan pemain international .. tapi jgn bangga kelas beda",positive
34,"Dear  Happy Monday! Hari senin gini, waktu yang pas untuk belajar nggak sih hihihi Saat ini, Indonesia sedang dihebohkan dengan trend berita mengenai RESESI dan DEPRESI. Nah tapi, kamu sendiri sudah paham belum sih, apa itu RESESI dan DEPRESI ",neutral
35,"Gaiis, belakangan ini mungkin kita sudah sering dengar tentang Resesi 2023. Dan terjadinya resesi 2023 bisa menimpa negara manapun di dunia ini termasuk Indonesia. Jadi kita harus waspada.    ",positive
36,"Tahun 2023 Indonesia akan mengalami resesi Tapi sebelumnya, resesi tuh apa sih Apa dampaknya untuk perekonomian Indonesia Kemudian, sebagai masyarakat biasa apa yang harus dilakukan untuk mengantisipasi resesi ini Tonton selengkapnya di ",neutral
37, ngobrolin resesi indonesia dib,neutral
38,[CM] Perasaan makannya udah diirit2 Pap pengeluaran kalian bulan ini guiss ,neutral
39, Masalahnya di mana dgn semua itu Silahkan klu mau bahas satu persatu Yg pasti ekonomi Indonesia ttp bergerak positif di saat dunia dlm keadaan resesi akibat pandemi n perang Keren kan Jokowi Yg hati nya busuk ga akan mampu melihatnya,positive
40," Sama bukan membela pemerintah yah... Untuk neraca perdagangan indonesia itu masih surplua bisa dikatakan bisa lewatin lah resesi ini, inflasi pasti ada karna rantai pasok global keganggu karna perang russia ukraina dan sayang bangga indonesia punya orang kaya ibu sri mulyani",positive
41,"Muhamad Chatib Basri (Mantan Menteri Keuangan) menjelaskan, Resesi artinya kita mengalami pertumbuhan ekonomi negatif, saya tidak melihat ada kemungkinan untuk Indonesia mengalami pertumbuhan ekonomi negatif, mungkin hanya akan terjadi perlambatan ekonomi. ",positive
42,buset ahli makroekonom indonesia banyak bgt ya apalagi di reply section pak tigor pas ngedebunk gorengan resesi. bermunculan semua njir takut bgt,neutral
43,Chatib Basri bicara batas dampak resesi global ke perekonomian Indonesia.   ,neutral
44,Menaker Ida Khawatir Ancaman Resesi Global 2023 Picu PHK Massal: Menteri Ketenagakerjaan (Menaker) Ida Fauziyah khawatir ancaman resesi global pada tahun 2023 berdampak pada sektor ketenagakerjaan di Indonesia. Salah satunya terjadinya pemutusan hubungan ,negative
45,Sedang berlangsung Laporan Khusus Sektor UMKM Mampu Hadapi Resesi Ekonomi bersama Yusuf Wibisono selaku Ekonom Universitas Indonesia dengan Host Silvia Ansori.  ,neutral
46,Kondisi perekonomian semakin sulit akan mengakibatkan resesi tahun 2023. Berbeda pemikiran dengan Piter Abdullah yang mengatakan bahwa perekonomian Indonesia akan bangkit. Mengapa demikian Artikel lengkapnya di    ,neutral
47, Memang hampir seluruh daerah di Indonesia menampakkan lagi resesi,negative
48,Tahun 2023 Dunia akan mengalami resesi hebat Termasuk Indonesia Tahun 2024 Pemilu ditiadakan karna gak ada dana Kalau di paksakan Indonesia akan Kiamat Dah itu aja penerawangan hari ini,negative
49,Strategi Pengusaha Kuliner Indonesia Hadapi Isu Resesi Global 2023 ,neutral
50, Mimpi Bangun sudah ketinggalan negara lain sudah pada siap siap menuju resesi Indonesia mana kinerjanya Cuma buat nakuti nakuti rakyat ...semua pengin mimpi yang lebih tinggi..buknya gedein partai doang presiden itu bukan petugas partai..,neutral
51,"Gub menjadi pembicara dalam acara talkshow Diseminasi Nasional Solo: Gaung Muda Indonesia Pasca KTT Y20 Presidensi G20 Indonesia di Pura Mangkunegaran, Surakarta(28/10). Menurutnya, Anak-anak muda harus diberikan ruang & peran dalam menghadapi ancaman resesi dunia. ",neutral
52,"[BERITA] Labor Institute Indonesia: PHK akan Masif Hingga Akhir Tahun 2022, Dipicu Ancaman Resesi Global - ",neutral
53,"Pada 2023, perekonomian Indonesia masih akan tumbuh. Bahkan Indonesia termasuk negara dengan pertumbuhan ekonomi ketiga terbaik. Kalau begitu, perlukah overthingking"" terhadap resesi yang katanya akan segera terjadi   ",neutral
54," Makanya jangan ragu dng Kebijaksanaan pemerintah Indonesia. Semua aturan itu untuk mendukung roda ekonomi tetep bergerak ditengah resesi Global. Investor dari mana aja itu bawa modal untuk proyek2 Indonesia, menyerap pengangguran dan ujungnya ekonomi Indonesia kuat. Hrs kerjasama",neutral
55,Sedang berlangsung Laporan Khusus Sektor UMKM Mampu Hadapi Resesi Ekonomi bersama Eddy Misero selaku Sekretaris Jendral Asosiasi UMKM Indonesia (AKUMINDO) dengan Host Silvia Ansori.  -Iva,neutral
56, Resesi dunia Pertumbuhan ekonomi Indonesia masih bagus karena UMKM Ujar Moeldoko . .  ,positive
57," Pasar, mall, tempat wisata selalu rame, Indonesia jauh dari resesi",positive
58,"tapi, malahan menurut menku, indonesia masih di tahap aman kalopun misalnya bakal ada resesi 2023",positive
59," Ngerii slipkol, bahase nanti kenapa thn depan Indonesia mengalami resesi",neutral
60,"Ada Ancaman Resesi Ekonomi Global, Indonesia Mesti Bersiap ",positive
61,"Makin yakin menatap masa depan bangsa ini. Dengan tangan dingin pak dan jajarannya, yakin Indonesia bisa tidak berdampak besar terhadap resesi ekonomi tahun 2023 yang dikhawatirkan banyak negara. ",positive
62,"Resesi melanda beberapa negara, Indonesia juga akan menghadapinya. Tanda2nya sudah terwujud, PHK, tidak ada lapangan kerja. Konsumen menurun pastinya. Yuk trading forex sebagai alltenatif income. Sy buka kelas online gratis dan ada beasiswa bila beruntung. Wa saja.. ",neutral
63," Aku sih mau 2023 resesi atau gak, bagi aku semenjak covid datang ke Indonesia tahun 2020 ya itulah resesi... ",negative
64,Menteri Ketenagakerjaan Ida Fauziyah meminta seluruh tenaga kerja untuk meningkatkan kompetensinya agar Indonesia terbebas dari jeratan resesi dunia yang diperkirakan... ,positive
65,"EKONOMI INDONESIA AGAK LEBIH BAIK DARI NEGARA LAIN KRN INDONESIA JUAL ASET , JUAL SEGALA SUMBER DAYA ALAM PADA ASING. DAN NEGARA ASING YG JATUH RESESI KRN MMG TDK PUNYA SUMBER DAYA ALAM SPT INDONESIA. JADI JOKOWI JGN BANGGA BERLEBIHAN INDONESIA EKONOMI NYA BAGUS. ",neutral
66," Ancaman resesi global, siapa aja bsa kena llo ga siap. who knows Siapa yang sangka inggris yang begitu kuatnya dgn poundsterling bisa dkondisi seperti ini skrg. Ga ada yg bilang indonesia bakal resesi, ancaman resesi global.",negative
67, Yang keluarin data Indonesia bakal resesi kan Dari Bu Sri mul,neutral
68,"Astaga mahasiswa ini apa tidak mikir ya. Dunia sedang resesi krn pandemi dan perang Rusia-Ukraina, Indonesia masih bagus bisa kontrol inflasi, utang dan jaga ketahanan pangan. Kalian cuma bisa kritik tapi ga bisa kontribusi buat bantu negara ",neutral
69,"PKS: Jika Resesi Ekonomi Dunia Tidak Diantisipasi Pemerintah, Indonesia Akan Terdampak Parah ",neutral
70,"Resesi 2023 menuai banyak opini, ada yang optimis bahwa Perekonomian Indonesia tidak akan seburuk yang di isukan, adapula yang pesimis bahwa Indonesia akan terkena dampak besar dari resesi Global.      ",neutral
71,Masyarakat Harus Tetap Jajan: Ini Salah Satu Resep Indonesia Bebas Resesi Ekonomi 2023 ,neutral
72," Yg perlu diketahui juga, apa jawaban SMI kpd pak JK terkait prediksi resesi thn 2023, itu intinya. Semoga pak JK bisa menyampaikan kpd masyarakat Indonesia tentang jawaban SMI kpd pak JK...",neutral
73," dalam pandangan saya: Indonesia resesi di 2023 ya. bahkan mungkin sampai dengan 2025. tight money policy saat ini sudah terjadi di Indonesia, pemerintah terpaksa melakukan untuk menekan inflasi. import dan export sudah pasti turun tajam. effect dr covid-19 dan invasi Russia - Uk",negative
74," Semoga saja pak,,disaat kita diperhadapkan dgn isu krisis global bahkan resesi ekonomi ditahun depan,tiba Pi network dgn segala terobosannya...Godbless Pi network,Godbless indonesia.!!! """,neutral
75,"Menko Perekonomian Airlangga Hartarto optimis Indonesia jauh dari kata resesi. Sebab menurutnya, perekonomian Indonesia di 2023 diperkirakan dapat tumbuh positif mencapai 5,2 hingga 5,3 persen. ",positive
76,karena tren yang seperti itu seakan membuktikan bahwa beneran akan terjadi resesi keuangan khsusunya di indonesia dan yang salah satu yang terdampak adalah tech company ,neutral
77,Indonesia tak perlu terlalu resah menghadapi resesi global ,positive
78,"Pandemi di Indonesia berakibat meningkatnya masyarakat miskin baru"" karena aktivitas ekonomi yang terhambat. Diharapkan dengan aktivitas ekonomi yang berangsur pulih angka tersebut bisa menyusut.        ",neutral
79,"Ada Ancaman Resesi di 2023, Subaru Indonesia Yakin Tetap Kokoh ",positive
80,Ketentuan: 1. Quote tweet ini plus screenshot artikel favorit kamu di app dan alasannya 2. Follow & mention dan 2 teman 3. Pakai tagar    ,neutral
81,Pemerintah masih meyakini ekonomi Indonesia tetap cerah meski ada potensi resesi ekonomi global 2023. ,positive
82,"Ekonomi dunia di tahun 2023 penuh dengan ketidakpastian. Sejumlah lembaga bahkan sudah memproyeksi akan terjadi resesi di tahun depan. Lantas, bagaimana tanggapan para tokoh Indonesia terhadap resesi Simak infografis berikut.    ",neutral
83,Apa Kata Menparekraf atas Ancaman Dampak Resesi Dunia di Indonesia    ,neutral
84,Perekonomian Indonesia dinilai relatif tangguh hadapi berbagai tantangan termasuk resesi ekonomi global yg diprediksi terjadi pada 2023. ,positive
85,"Indonesia nggak resesi! Buktinya paket winter holiday di Rovaniemi, Finlandia, harga diatas Rp 50 jutaan, langsung ludes di travel agent This is TRAVEL REVENGE!",positive
86," Buk sapa bilang indonesia miskin lambemu jare dokter kok pekok eram coba baca jurnal luar negeri resesi dunia negara mana aja yg survive, cocotmu nek ga nyonyor ki ngopo to, suatu saat karma semua ucapan burukmu akan kembali monggo ditenggoke mawon",neutral
87,"Halo, Kompas! Akhir-akhir ini situasi media massa menjadi tidak kondusif sebab banyak berita dan influencer yang ramai2 menebar keseraman resesi global sehingga menimbulkan kepanikan di tengah masyarakat Indonesia. Nah, kenapa artikel Kompas yang satu ini menjadi favorit saya ",neutral
88,Sederet Kekuatan Indonesia Hadapi Ancaman Resesi Global      . ,neutral
89,"Sejumlah perusahaan teknologi besar di Indonesia harus melakukan PHK supaya bisnisnya bisa bertahan, bagaimana kondisi startup di Yogya di tengah ancaman resesi global   ",neutral
90,"Udah kasus usut tuntas belum kelar,Sambo belum kelar,bakal muncul resesi lagi wtf indonesia ! ",neutral
91,"Sebab ditulis dengan rinci dan menjabarkan berita faktual dengan sebab-akibat yang jelas, misalnya Indonesia tidak terlalu terkena dampak resesi global karena konsumsi atau demand masyarakat terhadap produk domestik masih kuat""""",neutral
92, Lhooo lak mestiiiiiii.. Tau negaranya lagi kolep bikin virus sendiri apa coba maksudnya(china) Gais Indonesia tuh ga ngaruh mau di bombastis berita dunia gelap karena resesi . Selama kegiatan2 masyarakat masih di perbolehkan!!.Tapi kalo sudah covid Ya WASALAM,neutral
93," Eropa yg resesi, tifa yg panik kejang2. Ini Indonesia faa, di eropa resesi energi kita happy2 export batubara harga premium.",neutral
94,Sandiaga Uno Yakin 97 Persen Indonesia Tak Akan Resesi Tahun Depan! ,positive
95,"Mohon maaf sebesar-besarnya, dengan berat hati menginformasikan bahwa event festival di hari ke-3 tanggal 30 Oktober 2022 yang diselenggarakan di Istora Senayan & Parkir Selatan GBK, harus dibatalkan atas dasar alasan keselamatan dan keamanan. ",neutral
96,Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno menyebut bahwa 97% analis menyatakan bahwa Indonesia tak akan resesi tahun depan. ,positive
97, Denger denger Indonesia tahun depan resesi ya ,neutral
98,"Asia is still a relative bright spot globally despite some signs of slowdown in economic rebound. We have cut growth forecasts to 4% this year and 4.3% next year, below the historical average: ",neutral
99,Secara makro resesi Indonesia udah 2 tahun covid kemarin pertumbuhan ekonomi sampai minus 2.1% n sekarang recoverinya sampai 5% tahun ini. Proyeksi tahun depan 5.2 % ,neutral
100,"Sandiaga menargetkan 30 juta UMKM dapat tergabung dalam program gerakan nasional bangga buatan Indonesia. Ia meminta para pelaku UMKM terus melakukan inovasi, adaptasi dan kolaborasi untuk tetap bertahan di tengah ancaman resesi dunia.  # Berdendang bergoyang ",neutral
101, Jika Indonesia mengalami resesi .Rakyat tinggal turun kejalan cari kebenaran mengepung Istana Negara tempat berkumpulnya para Oligarki dan Mafia.Mereka lah Bangsa Pengecut yang menguras habis harta kekayaan Indonesia .Revolusi harga mati utk Rakyat.,neutral
102,"The IMF predicts that the Indonesian economy will grow 5% in 2023. But the influencers here nakut-nakutin Indonesia 2023 bakal resesi sampe meminjam diksi KIAMAT"" hahaha """,neutral
103,Resesi 2023 yang dipicu kebijakan AS itu berpotensi berdampak terhadap perekonomian Indonesia salah satu terhadap harga komoditas dan energi. ,neutral
104,Akankah Resesi Ekonomi Global Berdampak Pada Indonesia ,neutral
105, Ada yg jd saksi kalau beliau katanya memperhatikan rakyat kecil.. ada yg katakan negara G20 antre minta tolong ke beliau..dan ada juga yg katakan siap pengamanan bila Indonesia resesi...keren..keren kalian..,neutral
106,Sandiaga Uno mengungkapkan 97% analis menyatakan Indonesia tidak akan resesi tahun 2023. Dia mengatakan inflasi di Indonesia saat ini masih cukup terkendali. ,neutral
107,Sandiaga Ungkap 97% Analis Nyatakan Indonesia Tak Kena Resesi di 2023 ,positive
108,"Pengaruh resesi Amerika Serikat terhadap mahasiswa internasional, dari  dan  termasuk  dan  ",neutral
109,Event ini membuktikan bahwa orang Indonesia khususnya orang jakarta gak takut resesi. Karena tiket konser bodong ajaa masi dibeli wkwkwk.,positive
110,"Berita seperti ini musti di Up terus patahkan narasi kadrun yg sllu blow up negara resesi, bnyak hutang dll EKONOMI INDONESIA TERBESAR KE TUJUH SEDUNIA SALIP INGGRIS Kadrun Anjeng klo liat fakta sperti ini langsung MATA NYA KETUTUPAN TAEK ",neutral
111," Kewajiban SMI untuk memberi signal kepada rakyat Indonesia terhadap kemungkinan terjadinya resesi, bukan untuk menakuti",neutral
112,"Tahun depan resesi Ah aman aja Krn ada yg ngomong Indonesia nda terdampak, yah mulai skrg mengurangi pengeluaran yg TDK perlu itu penting, berjaga utk kemungkinan terburuk, menghemat dah itu aja",positive
113,Gak perlu nakut2in orang indonesia soal resesi. Kita bisa hidup dan pernah hidup dalam segala kondisi,positive
114,Apa yang akan terjadi dg indonesia klo 2023 resesi Dan bagaimana nasib diriku    ,neutral
115,"PKS: Jika Resesi Ekonomi Dunia Tak Diantisipasi Pemerintah, Indonesia akan Terdampak Parah ",neutral
116,Wakapolri: Polisi Siap Hadapi Dampak Resesi Ekonomi. Jember ( Wakil Kepala Kepolisian Republik Indonesia Komisaris Jenderal Gatot Eddy Pramono menegaskan kesiapan aparat    via ,positive
117,Resesi global ud ddepan mata. Tp ttp optimistis Indonesia gk akn terperosok ke jurang resesi. Alasannya adlh krn kita memiliki bnyk potensi yg membuat ekonomi kita ttp tumbuh  ,positive
118,Bukan kiamat yg dibilang Bu Sri Mulyani tapi hanya awal resesi ekonomi 2023 Kocak sih pak Yth: ,neutral
119,"Plt Sekretaris Utama NFA hadiri webinar bertajuk Bersatu Hadapi Ancaman Resesi Ekonomi Dunia"" yang diselenggarakan Masyarakat Ilmu Pemerintahan Indonesia (29/10).    ",neutral
120,Indonesia Terdampak Parah Resesi Ekonomi Dunia Jika Pemerintah Tidak Antisipasi ,neutral
121, Mari mempertahankan pola konsumtif utk mencegah Indonesia tidak jatuh ke jurang resesi ,positive
122,Subsidi tepat sasaran bisa memeberikan nafas bagi si miskin jika terjadi resesi di Indonesia. Namun pemerintah juga harus mencari jalan keluar agar Indonesia terhindar dari resesi.        ,neutral
123,"Lanjutan Bahkan kita masih menghadapi ancaman badai Resesi Global di tahun 2023 mendatang. Yang gejalanya mulai kita rasakan dari sekarang. Dimana inflasi menghantam beberapa negara, termasuk Indonesia,"" papar dia. LaNyalla yang juga Ketua Pemuda Pancasila Jatim next...""",neutral
124," Nggak ngaruh sama Indonesia. Di Indonesia yg antri iphone 14 dan mobil berjubel, resesi apanya ",positive
125,Ekonom: Hentikan Narasi Kebencian Agar Indonesia Tidak Terseret Resesi Global ,neutral
126,"Video nya dari judulnya emg rada bikin takut sihh.. Isinya berat bgtt ngomongin perekonomian dunia, dan impact resesi Indonesia di akhir video. Gegara video itu jadi lebih melek ttg ekonomi dunia yg lagi ga baik-baik ajaaa.. Yg efek akhirnya bisa kena ke perekonomian kita jg.",negative
127,"Sekarang Pariwisata Indonesia berada di posisi yang tentu saja lebih baik dari tahun lalu akibat dampak pandemi, kita berjalan di jalan yang tepat sehingga ancaman resesi eknomi Indonesia kurang dari 3% Luar Bisaa ",positive
128," Maaf ya, Indonesia bersama India, Meksiko dan Brazil aman tahun depan, Eropa, Amerika bahkan China masuk resesi Klo mereka mau kembali ke jmn Batu biarin aja, ente ke sono aja",positive
129,"Telah terlaksana Aktivitas dari Departemen Kajian Keilmuan yaitu DIKSI"" (Diskusi Bareng Himasi) yang bertema ""Peran Mahasiswa dalam Membangun Pertumbuhan Ekonomi Indonesia di Tengah Isu Resesi Dunia""""",neutral
130,"Suku bunga acuan Bank Indonesia (BI) terus mengalami kenaikan. Resesi ekonomi pun diprediksi akan terjadi di 2023. Lantas, bagaimana sebaiknya mengambil KPR di tengah situasi ini Simak selengkapnya di sini.    ",neutral
131, Jadi kesimpulannya indonesia siap menghadapi resesi dunia.. Bahkan negara2 barat mengakui keberhasilan Jokowi. Ya kadrun aja yg gak percaya semua itu dan menafsirkan lain pd fenomena ini karena minimnya kecerdasan ,positive
132," Ga jadi resesi, karena ekonomi Indonesia bagus",positive
133,"Tahun depan ekonomi dunia diprediksi akan gelap. Oleh karena itu, kalian para pemuda dan pemudi Indonesia diharapkan menjadi pelita yang menerangi Indonesia dari gelapnya ancaman resesi global,"" ujar Sandiaga.    Gondrong Banser ",neutral
134, Indonesia tuh bikin makanan sendiri jd cenderung tahan resesi. Energi jga punya. Porsi impor pangan dan energi kita setau saya ga besar deh kyanya (secara porsi),positive
135,"VIDEO: Resesi Ekonomi Global, Indonesia Kena Dampaknya ",neutral
136,Anis Byarwati: Indonesia Terdampak Parah Resesi Ekonomi Dunia Jika Pemerintah Tak Antisipasi ,neutral
137,"semua staff kemarin sore balik kerja dipanggil atasan, katanya mohon lebih aware sama resesi tahun depan. ngeliat pic di atas jadi kepikiran, indonesia jadi resesi gak sih wkwk",neutral
138," Yg bikin resesi itu justru kalau takut buat belanjain duit.. Belanja aja seperti biasa, usahakan belanja dari UKM, dan kurangi konsumsi produk impor.. insyaallah Indonesia ga akan resesi.",positive
139,"Menteri keuangan seperti kaki tangan IMF, digembar gemborkan akan resesi, jika begini perputaran ekonomi malah jadi mandeg, karena di takut takutin akan kiamat ekonomi. Ini seperti sengaja dia ucapkan, agar Indonesia masuk dalam skenario IMF. ",neutral
140,"Tahun depan ekonomi dunia diprediksi akan gelap. Oleh karena itu, Sandiaga berharap para pemuda dan pemudi Indonesia agar dapat menjadi pelita yang menerangi Indonesia dari gelapnya ancaman resesi global tersebut.   Lukas Enembe ",neutral
141,JK Telepon Sri Mulyani: Jangan Takut-takuti Orang Tahun Depan Kiamat ,neutral
142,"Di tahun 2022 suku bunga udah ada kenaikan sebanyak 3kali sama BI, ditahun 2023 mendatang apakah resesi akan terjadi juga di Indonesia ",neutral
143,"well, sebagian negara sudah mengalami resesi. indonesia juga bakal resesi, it's a common thing. hal yg lumrah terjadi, pertanyaannya seberapa parah. it's a warning for us, biar apa supaya lebih mikir melakukan pengeluaran, ntar ga di kasih tau cek out trs pake paylater",neutral
144,"Indonesia gak kenek resesi kok jare pejabat, tapi suku bunga kok terus naik Rupiah yo terus melemah, perkiraanku salah berarti selama iki ",neutral
145, Ooo takut to. Bukankah dulu ada oposisi juga bilang Indonesia akan musnah thn 2030... si JK ini anteng2 aja. Kenapa sekarang takut cm sama resesi ,neutral
146,"Menteri keuangan Sri Mulyani Indrawati menyebut bahwa tekanan resesi ekonomi global tahun depan, terhadap perekonomian Indonesia sangat berat, Rupiah meskipun menguat tapi itu hanya sementara saja, setelah itu pasti jatuh lagi.kabar baiknya, harga pangan di dalam negeri stabil",negative
147,"Siswanto, D. (2022, October 11). Dunia di Ambang Resesi, Kinerja Penerimaan Pajak RI 2023 Masih Aman HAHAHAH saya curang, sitasinya pakai web generator, gak saya implementasikan ilmu pengetahuan dari mata kuliah Bahasa Indonesia smt lalu :D",neutral
148,"Bukan Hanya Bu Sri Pak Nakut2in Orang itu ada maunya, paling tidak kalau Resesi merembet ke Indonesia Dia berusaha cuci tangan duluan supaya Rakyat memaklumi ",neutral
149,Jangan Setuju pak e... ,neutral
150,"Tahun depan ekonomi dunia diprediksi akan gelap. Oleh karena itu, kalian para pemuda dan pemudi Indonesia diharapkan menjadi pelita yang menerangi Indonesia dari gelapnya ancaman resesi global,"" ujar Sandiaga.    Telkomsel  ",neutral
151,Siapa bilang Indonesia resesi ,positive
152,[askrl] lets go ,neutral
153,"Waaaaa senang liat yang pada liburaaannn,,gantian liburan biar ga ada tuh cerita resesi,,penuhin destinasi wisata, belanja dr produk lokal,,larisin pedagang kecil, insyaAllah Indonesia aman salam dari  yg wiken pun kerja ",positive
154,"Tahun depan ekonomi dunia diprediksi akan gelap. Oleh karena itu, Sandiaga berharap bagi para pemuda dan pemudi Indonesia agar dapat menjadi pelita yang menerangi Indonesia dari gelapnya ancaman resesi global tersebut.   Lahiran Salafi Rehan Lisa",neutral
155,"Resesi di Indonesia ga ngefek kayanya, soalnya semalem acara konser berbayar di Alun Serang rame yg dateng wkwkwk",positive
156,Chatib Basri Bicara Batas Dampak Resesi Global ke Perekonomian Indonesia ,neutral
157,"Menteri keuangan Sri Mulyani Indrawati menyatakan bahwa tekanan resesi ekonomi global tahun depan, bukan kaleng-kaleng kalau Indonesia tidak tahan dengan goncangan yang di akibatkan resesi ekonomi global tahun depan, APBN kita akan jebol,tegas menteri keuangan Sri Mulyani..",negative
158,Bukan Indonesia sja yg dilanda resesi ekonomi Tpi seluruh dunia. Bahkan ada 28 negara yg antri jadi pasien IMF.Alhamdulillah Indonesia tdk termasuk.,positive
